source_id,source_name,source_type,used_for_triples,
SRC_001,DermNet - ABCDEFG of melanoma,Website,"TRI_001, TRI_002, TRI_003, TRI_004",
SRC_002,DermNet - Melanoma,Website,"TRI_006, TRI_007, TRI_011,TRI_013,TRI_014",
SRC_003,AAD - Melanoma clinical guideline,Guideline,"TRI_009, TRI_012",
SRC_004,DermNet - Dermoscopy / Melanoma,Website,"TRI_005, TRI_008",
SRC_005,DermNet - Atypical naevi / Superficial spreading melanoma,Website,TRI_010,
SRC_006,DermNet - Melanocytic Naevus,Website,"TRI_017, TRI_019, TRI_022, TRI_023,TRI_024",
SRC_007,DermNet - Benign Melanocytic Lesions,Website,"TRI_015, TRI_016, TRI_018",
SRC_008,DermNet - Melanocytic Naevi: New Classification,Website,"TRI_020, TRI_021",
SRC_009,DermNet - Basal Cell Carcinoma,Website,"TRI_025, TRI_026, TRI_027, TRI_028, TRI_030, TRI_036",
SRC_010,DermNet - Basal Cell Carcinoma Dermoscopy,Website,"TRI_029, TRI_031, TRI_032, TRI_035",
SRC_011,AAD - Basal Cell Carcinoma Guideline,Guideline,"TRI_033, TRI_037",
SRC_012,DermNet - Seborrhoeic Keratosis,Website,"TRI_034, TRI_050, TRI_053, TRI_054, TRI_067, TRI_068",
SRC_013,DermNet - Actinic Keratosis,Website,"TRI_038, TRI_039, TRI_043, TRI_044, TRI_045, TRI_051",
SRC_014,DermNet - Intraepidermal Squamous Cell Carcinoma,Website,"TRI_040, TRI_041, TRI_048",
SRC_015,DermNet - Actinic Keratosis Dermoscopy,Website,"TRI_042, TRI_046, TRI_047,TRI_049",
SRC_016,AAD - Actinic Keratosis Guideline,Guideline,TRI_052,
SRC_017,DermNet - Solar Lentigo,Website,"TRI_055, TRI_059, TRI_061",
SRC_018,DermNet - Dermoscopy of Seborrhoeic Keratosis,Website,"TRI_056, TRI_057, TRI_063, TRI_065, TRI_066",
SRC_019,DermNet - Lichenoid Keratosis,Website,"TRI_058, TRI_060, TRI_062, TRI_064, TRI_069",
SRC_020,DermNet - Dermatofibroma,Website,"TRI_070, TRI_071, TRI_072, TRI_074, TRI_075, TRI_076, TRI_077, TRI_078, TRI_079, TRI_080, TRI_081, TRI_083, TRI_084",
SRC_021,DermNet - Dermoscopy of Other Non-melanocytic Lesions,Website,"TRI_073, TRI_082, TRI_086",
SRC_022,DermNet - Cherry Angioma,Website,"TRI_085, TRI_091, TRI_095, TRI_097, TRI_100, TRI_101",
SRC_023,HAM10000 Scientific Data,Article,TRI_087,
SRC_024,DermNet - Pyogenic Granuloma,Website,"TRI_088, TRI_089, TRI_090, TRI_093, TRI_094, TRI_096, TRI_098, TRI_099, TRI_102",
SRC_025,DermNet - Common Skin Lesions,Website,TRI_092,
